Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
On s'est fait un copain! #Kilti est fier du projet #collaboratif et soucieux de l'#écologie .… http,train,On has Done one Buddy! #Kilti is proud of the Project #collaborative and concerned of the #ecology .... http,We made a friend! #Kilti is proud of the #collaborative and ecologically concerned project .... http,2,On has Done one Buddy! #Kilti is proud of the Project #collaborative and concerned of the #ecology .... http,We made a friend! #Kilti is proud of the #collaborative and ecologically concerned project .... http
L'assemblée va interdire les sacs plastiques ..on ne va plus ramasser les crottes de son chien ?au nom de l'écologie..hum,train,The Assembly Go. prohibit on bags Plastics ..on do not Go. plus pick up on Sucks of the sound dog ?at name of the ecology..hum,"The assembly will ban plastic bags ..we will no longer pick up his dog's poops ?in the name of ecology ..hum .. , , . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",0,The Assembly Go. prohibit on bags Plastics ..on do not Go. plus pick up on Sucks of the sound dog ?at name of the ecology..hum,"The assembly will ban plastic bags ..we will no longer pick up his dog's poops ?in the name of ecology ..hum .. , , ."
L'Ecolabel Européen sur les lieux d’hébergements touristiques http,train,The Ecolabel European on on locations d-accommodation tourism http,The European Ecolabel on tourist accommodation sites http://europa.eu.int/comm/index_en.htm http://europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int,1,The Ecolabel European on on locations d-accommodation tourism http,The European Ecolabel on tourist accommodation sites http://europa.eu.int/comm/index_en.htm http://europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int/comm/index_en.htm http://www.europa.eu.int
Lutter contre le réchauffement climatique et réduire la facture énergétique http,train,Fight against on warming climate and reduce the invoice Energy http,Fighting global warming and reducing the energy bill http,2,Fight against on warming climate and reduce the invoice Energy http,Fighting global warming and reducing the energy bill http
#Climat : l’assombrissement de la surface du Groenland au printemps amplifie le changement climatique sur la calotte http,train,"#Climate - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. Darkening of the the surface of the Greenland to Spring amplify on change climate on the cap http",#Climate: Darkening Greenland's surface in the spring amplifies climate change on the cap http,0,#Climate - No. Darkening of the the surface of the Greenland to Spring amplify on change climate on the cap http,#Climate: Darkening Greenland's surface in the spring amplifies climate change on the cap http
3 recettes naturelles pour entretenir sa maison http,train,3 Income natural for maintenance its house http,3 natural recipes to maintain your home http,1,3 Income natural for maintenance its house http,3 natural recipes to maintain your home http
"@user @user ""POUR l'#Energie #eolienne"" : j'adhere !",train,"@user @user ""FOR #Energy #windian"" - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. I adhere - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no no no no no no no no no no no no no no no no no no no","@user @user ""POUR l'#Energie #eolienne"" : I adhere !",2,"@user @user ""FOR #Energy #windian"" - No. I adhere - No. no","@user @user ""POUR l'#Energie #eolienne"" : I adhere !"
"#Begov: ""moins de moyens pour les services publics qui ne déploieront pas suffisamment d’efforts en matière de développement #durable""",train,"#Begov: ""less of the Average for on services Public who do not Deploy not sufficient D-Efforts in material of the development #sustainable""","#Begov: ""less resources for public services that will not deploy enough effort in #sustainable development""",0,"#Begov: ""less of the Average for on services Public who do not Deploy not sufficient D-Efforts in material of the development #sustainable""","#Begov: ""less resources for public services that will not deploy enough effort in #sustainable development"""
Offre d'emploi: Commerciaux H/F: 17 La Rochelle http #job #emploi  #emploi #job,train,Supply of employment: Commercial H/F: 17 The Rochelle http #job #employment #employment #job,Job offer: Commercial H/F: 17 La Rochelle http #job #job #job #job,1,Supply of employment: Commercial H/F: 17 The Rochelle http #job #employment #employment #job,Job offer: Commercial H/F: 17 La Rochelle http #job
"Biocarburant 2G, inauguration de la plateforme de prétraitement de biomasse Syndièse http Car... http",train,"Biofuel 2G, inauguration of the the platform of the pretreatment of the biomass Syndiasis http Because... http","Biofuel 2G, inauguration of the biomass pretreatment platform Syndiasis http Car... http",2,"Biofuel 2G, inauguration of the the platform of the pretreatment of the biomass Syndiasis http Because... http","Biofuel 2G, inauguration of the biomass pretreatment platform Syndiasis http Car... http"
Carburants très polluants : le lobby pétrolier remporte une bataille @user @user @user http,train,"Fuels very pollutants - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. on lobby Petroleum wins a battle @user @user @user http",Highly polluting fuels: oil lobby wins battle @user @user @user http,0,Fuels very pollutants - No. on lobby Petroleum wins a battle @user @user @user http,Highly polluting fuels: oil lobby wins battle @user @user @user http
"Terre XXI /Les énergies renouvelables, un domaine prioritaire à Baia Mare    La municipalité de Baia Mare (dans... http",train,"Earth XXI /The energy renewable energy sources, one field priority to Baia Mare The municipality of the Baia Mare (in... http","Terre XXI /Renewable energies, a priority area in Baia Mare The municipality of Baia Mare (in... http",1,"Earth XXI /The energy renewable energy sources, one field priority to Baia Mare The municipality of the Baia Mare (in... http","Terre XXI /Renewable energies, a priority area in Baia Mare The municipality of Baia Mare (in... http"
Les députés ont voté l'objectif de montée en puissance des énergies #renouvelables dans le mix énergétique http #LoiRoyal,train,The Members a/ voted the objective of the climbed in power of the energy #renewable in on mix Energy http #Royal Law,MPs voted for #renewable energies in the energy mix http #RoyalLaw,2,The Members a/ voted the objective of the climbed in power of the energy #renewable in on mix Energy http #Royal Law,MPs voted for #renewable energies in the energy mix http #RoyalLaw
Le scandale des éoliennes hors de France : http,train,"The scandal of the Wind turbines Off of the France - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. http",The scandal of wind turbines outside France : http,0,The scandal of the Wind turbines Off of the France - No. http,The scandal of wind turbines outside France : http
Le 12ème Festival du #Livre et de la #Presse écologiques c'est en octobre à #Paris http #ecologie http,train,The 12th Festival of the #Book and of the the #Press Environmental It's in October to #Paris http #ecology http,The 12th #Book and #Green Press Festival is in October at #Paris http #ecology http,1,The 12th Festival of the #Book and of the the #Press Environmental It's in October to #Paris http #ecology http,The 12th #Book and #Green Press Festival is in October at #Paris http #ecology http
Comprendre le changement climatique en 2 minutes grâce à @user http,train,Understanding on change climate in 2 minutes Grace to @user http,Understanding climate change in 2 minutes with @user http,2,Understanding on change climate in 2 minutes Grace to @user http,Understanding climate change in 2 minutes with @user http
Cécile Duflot aurait dû être intransigeante sur les questions sociales et écologiques. #ONPC,train,Cecile Duflot would have due be uncompromising on on Questions Social and environmental. #ONPC,Cécile Duflot should have been intransigent on social and ecological issues. #ONPC,0,Cecile Duflot would have due be uncompromising on on Questions Social and environmental. #ONPC,Cécile Duflot should have been intransigent on social and ecological issues. #ONPC
#Polémique autour de l’#abattage massif de bouquetins en #HauteSavoie : Bête décision... http,train,"#Polemic around of the Slaughter massive of the Ibex in #HauteSavoie - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. Beast decision... http",#Polemic around the massive slaughter of bouquetins in #HauteSavoie : Beast decision... http,1,#Polemic around of the Slaughter massive of the Ibex in #HauteSavoie - No. Beast decision... http,#Polemic around the massive slaughter of bouquetins in #HauteSavoie : Beast decision... http
Développer les #ENR dans la chaleur permettrait de diminuer significativement la part des énergies carbonées http @user,train,Develop on #ENR in the heat would allow of the decrease Significantly the Share of the energy Carbonated http @user,Developing #ENRs in heat would significantly reduce the share of carbonised energies http @user,2,Develop on #ENR in the heat would allow of the decrease Significantly the Share of the energy Carbonated http @user,Developing #ENRs in heat would significantly reduce the share of carbonised energies http @user
"@user Ouais mais après je vois rien, j'allume la lumière, je consomme de l'électricité, c'est chère, développement durable etc...",train,"@user Yeah. but after I See. Nothing, I'll turn on the lights. the light, I consumption of the electricity, It's Dear, development sustainable And so on...","@user Yeah but then I see nothing, I light up the light, I consume electricity, it's expensive, sustainable development etc...",0,"@user Yeah. but after I See. Nothing, I'll turn on the lights. the light, I consumption of the electricity, It's Dear, development sustainable And so on...","@user Yeah but then I see nothing, I light up the light, I consume electricity, it's expensive, sustainable development etc..."
Une forêt d'éoliennes pousse http via @user,train,One forest Of wind turbines grows http via @user,Wind turbine forest grows http via @user,1,One forest Of wind turbines grows http via @user,Wind turbine forest grows http via @user
RT @user: Energies vertes : l'Etat finalise le nouveau système de soutien http,train,"RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT RT @user: Energy green - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. the State finalise on new system of the support http",RT @user: Green energy: the state is finalising the new support system http,2,RT @user: Energy green - No. the State finalise on new system of the support http,RT @user: Green energy: the state is finalising the new support system http
"@user Certes,mais elle est toute aussi inélégante que lui olivia. elle l'a piqué à l'autre soi disant ministre de l'écologie non?",train,"@user Of course, but it is all also inelegant that him olivia. it a Piqué to the other self saying Minister of the Ecology No?","@user Yes, but she's just as inelegant as he is olivia. She stole it from the other so-called minister of ecology, right?",0,"@user Of course, but it is all also inelegant that him olivia. it a Piqué to the other self saying Minister of the Ecology No?","@user Yes, but she's just as inelegant as he is olivia. She stole it from the other so-called minister of ecology, right?"
Les #énergies #renouvelables: L’option la plus économique pour le mix énergétique de l’UE en 2030 http,train,The #energy #renewable: Option the plus Economic for on mix Energy of the EU in 2030 http,#energy #renewable: The most economical option for the EU energy mix in 2030 http,1,The #energy #renewable: Option the plus Economic for on mix Energy of the EU in 2030 http,#energy #renewable: The most economical option for the EU energy mix in 2030 http
L’article 50 réforme la contribution au service public de l’électricité #CSPE http #DirectAN #VotreEnergie #PLTECV,train,Article 50 reform the Contribution to service public of the Electricity #CSPE http #DirectAN #YourEnergy #PLTECV,Article 50 amends the contribution to the public electricity service #CSPE http #DirectAN #YourEnergy #PLTECV,2,Article 50 reform the Contribution to service public of the Electricity #CSPE http #DirectAN #YourEnergy #PLTECV,Article 50 amends the contribution to the public electricity service #CSPE http #DirectAN #YourEnergy #PLTECV
@user @user @user les communistes qui se disent écologistes ne manifestent pas contre ces méthodes,train,@user @user @user on Communists who s Say environmentalists do not manifest not against these methods,@user @user @user the communists who claim to be ecologists do not protest against these methods,0,@user @user @user on Communists who s Say environmentalists do not manifest not against these methods,@user @user @user the communists who claim to be ecologists do not protest against these methods
(french) Réchauffement de la planète: @user sera reçu par Hollande http #COP20 #COP21 #Paris2015,train,(French) Warm-up of the the planet: @user will Received by Netherlands http #COP20 #COP21 #Paris2015,Global warming: @user will be received by Holland http #COP20 #COP21 #Paris2015,1,(French) Warm-up of the the planet: @user will Received by Netherlands http #COP20 #COP21 #Paris2015,Global warming: @user will be received by Holland http #COP20 #COP21 #Paris2015
Nouveau post: Comprendre la géothermie http,train,New post: Understanding the geothermal http,New post: Understanding Geothermals http,2,New post: Understanding the geothermal http,New post: Understanding Geothermals http
Changement climatique : l'acidification des océans s'accélère : http,train,"Change climate - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. Acidification of the Oceans accelerates - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. http",Climate Change: Ocean Acidification Accelerates: http,0,Change climate - No. Acidification of the Oceans accelerates - No. http,Climate Change: Ocean Acidification Accelerates: http
De plus en plus de moteurs d'impression remplace la technologie d'imagerie laser par des LED #oki #toshiba #brother #xerox / #ecologie,train,From plus in plus of the Engines printing replace the Technology Imaging laser by of the LED #oki #toshiba #brother #xerox / #ecology,More and more printing engines replace laser imaging technology with #oki #toshiba #brother #xerox / #ecology,1,From plus in plus of the Engines printing replace the Technology Imaging laser by of the LED #oki #toshiba #brother #xerox / #ecology,More and more printing engines replace laser imaging technology with #oki #toshiba #brother #xerox / #ecology
Ouverture à #Kimpese des travaux de l’atelier d’évaluation des risques liés au changement climatique  http #Congo,train,Initiation to #Kimpese of the work of the Workshop (d)evaluation of the Risks related to change climate http #Congo,Opening of the Climate Change Risk Assessment Workshop at #Kimpese http #Congo,2,Initiation to #Kimpese of the work of the Workshop (d)evaluation of the Risks related to change climate http #Congo,Opening of the Climate Change Risk Assessment Workshop at #Kimpese http #Congo
Suspension sine die de l'#ecotaxe http,train,Suspension sine die of the #ecotax http,Suspension sine die de l'#ecotaxe http,0,Suspension sine die of the #ecotax http,Suspension sine die de l'#ecotaxe http
"#TRAVEHC, Global travaux écologiques : l'expert nettoyeur ! http",train,"#TRAVEHC, Global work Environmental - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. the expert cleaner - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no no no no no no no no no no no no no no no no no no no http","#TRAVEHC, Global ecological works: the expert cleaner! http",1,"#TRAVEHC, Global work Environmental - No. the expert cleaner - No. no http","#TRAVEHC, Global ecological works: the expert cleaner! http"
@user : la survie des îles tient au respect d’engagements fermes dans la lutte contre le changement climatique http,train,"@user - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. the survival of the Islands Hold it. to respect commitments farms in the Control against on change climate http",@user: the survival of the islands is due to the fulfilment of firm commitments in the fight against climate change http,2,@user - No. the survival of the Islands Hold it. to respect commitments farms in the Control against on change climate http,@user: the survival of the islands is due to the fulfilment of firm commitments in the fight against climate change http
Ecologistes et communistes sans merci à La Rochelle  http via @user,train,Ecologists and Communists without Thank you. to The Rochelle http via @user,Ecologists and Communists without mercy at La Rochelle http via @user,0,Ecologists and Communists without Thank you. to The Rochelle http via @user,Ecologists and Communists without mercy at La Rochelle http via @user
TypHAS - Une école de chaumiers au Sénégal | @user http,train,"TypHAS - One school of the chaumers to Senegal - Yes, sir. @user http",TypHAS - A chaumier school in Senegal,1,"TypHAS - One school of the chaumers to Senegal - Yes, sir. @user http",TypHAS - A chaumier school in Senegal
"""La marque c'est un écosystème de confiance : sens / expérience / identité"" @user #AperoCom",train,"""The mark It's one ecosystem of the trust - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. meaning / experience / identity @user #AperoCom","""The brand is an ecosystem of trust: sense / experience / identity"" @user #AperoCom",2,"""The mark It's one ecosystem of the trust - No. meaning / experience / identity @user #AperoCom","""The brand is an ecosystem of trust: sense / experience / identity"" @user #AperoCom"
""" les écologistes ont une aversion idéologique pour le nucléaire"" @user @user",train,""" on environmentalists a/ a aversion ideological for on Nuclear Safety @user @user","""ecologists have an ideological aversion to nuclear power"" @user @user",0,""" on environmentalists a/ a aversion ideological for on Nuclear Safety @user @user","""ecologists have an ideological aversion to nuclear power"" @user @user"
Réchauffement climatique et remontée des maladies tropicales -  http,train,Warm-up climate and uphill of the diseases tropical - http,Climate warming and tropical disease recovery - http,1,Warm-up climate and uphill of the diseases tropical - http,Climate warming and tropical disease recovery - http
"Prévention des risques d’inondation - La stratégie face aux risques d’inondations : ne plus subir, mais anticiper http",train,"Prevention of the Risks flood - The strategy face to the Risks d-floods - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. do not plus undergo, but anticipate http","Flood risk prevention - The flood risk strategy: no longer suffer, but anticipate http",2,"Prevention of the Risks flood - The strategy face to the Risks d-floods - No. do not plus undergo, but anticipate http","Flood risk prevention - The flood risk strategy: no longer suffer, but anticipate http"
"@user en interview @user : ""En Rhône-Alpes, le divorce entre PS et Verts est possible"" | @user http",train,"@user in Interview @user - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. ""In Rhône-Alpes, on divorce between PS and Green is possible"" - Yes, sir. @user http","@user in interview @user: ""In Rhône-Alpes, divorce between PS and Verts is possible""",0,"@user in Interview @user - No. ""In Rhône-Alpes, on divorce between PS and Green is possible"" - Yes, sir. @user http","@user in interview @user: ""In Rhône-Alpes, divorce between PS and Verts is possible"""
#ecologie Maud Fontenoy veut replacer l'océan au centre des préoccupations http,train,#ecology Maud Fontenoy wants replace the ocean to centre of the concerns http,#ecology Maud Fontenoy wants to put the ocean at the centre of concerns http,1,#ecology Maud Fontenoy wants replace the ocean to centre of the concerns http,#ecology Maud Fontenoy wants to put the ocean at the centre of concerns http
"Ecobole, plateforme de crowdfunding dédiée aux projets écologiques et aux démarches eco-responsables http via @user",train,"Ecobolism, platform of the crowdfunding dedicated to the projects Environmental and to the approaches Eco-responsibles http via @user","Ecobole, crowdfunding platform dedicated to eco-friendly projects and eco-responsible approaches http via @user",2,"Ecobolism, platform of the crowdfunding dedicated to the projects Environmental and to the approaches Eco-responsibles http via @user","Ecobole, crowdfunding platform dedicated to eco-friendly projects and eco-responsible approaches http via @user"
Le sud-est de la #France face a une #crise de l'eau - http,train,The South-East of the the #France face a a #crisis of the Water - http,The southeast of #France facing a #water crisis - http,0,The South-East of the the #France face a a #crisis of the Water - http,The southeast of #France facing a #water crisis - http
(2) http Bien tenté mémère mais vois-tu il méprise tellement les français que ca se voit !,train,"(2) http Good. attempted memer but See? it Ignorance so much. on French that This s see - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no no no no no no no no no no no no no no no no no no no",(2) http Well tempted mother but do you see he despises the French so much that it can be seen!,1,(2) http Good. attempted memer but See? it Ignorance so much. on French that This s see - No. no,(2) http Well tempted mother but do you see he despises the French so much that it can be seen!
L’énergie verte en Russie sera boostée grâce à la Chine  http,train,Energy Green in Russia will Boosted Grace to the China http,Green energy in Russia will be boosted thanks to China http,2,Energy Green in Russia will Boosted Grace to the China http,Green energy in Russia will be boosted thanks to China http
